Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-02-01;HS;S1;639904;687340;663622
2017-02-01;HS;S11;52320;54866;53593
2017-02-01;HS;S2;20296;22855;21576
2017-02-01;HS;S21;235654;258159;246907
2017-02-01;HS;S3;227764;229368;228566
2017-02-01;HS;S31;501948;533298;517623
2017-02-01;HSB;S1;473881;479297;476589
2017-02-01;HSB;S11;38292;42168;40230
2017-02-01;HST;S11;45333;39772;42553
2017-02-01;HST;S21;172316;203927;188122
2017-02-01;HST;S31;439659;420594;430127
2017-02-01;IS;S1;247696;262054;254875
2017-02-01;JUS;S1;539942;544832;542387
2017-02-01;JUS;S2;18666;17637;18152
2017-02-01;JUS;S3;252707;264863;258785
2017-02-01;KRS;S3;102622;108405;105514
2017-02-01;KS;S1;426112;478294;452203
2017-02-01;KS;S2;15910;8394;12152
2017-02-01;KS;S3;192215;203149;197682
2017-02-01;KWS;S1;191819;207877;199848
2017-02-01;KWS;S11;17043;18432;17738
2017-02-01;LAN;S1;454937;474295;464616
2017-02-01;LAN;S11;40745;43420;42083
2017-02-01;LAS;S1;449727;458770;454249
2017-02-01;LAS;S2;13775;18219;15997
2017-02-01;LAS;S3;197643;195916;196780
2017-02-01;LST;S21;135710;127453;131582
2017-02-01;LST;S3;148547;179575;164061
2017-02-01;ML;S2;12793;18559;15676
2017-02-01;ML;S21;140901;153208;147055
2017-02-01;NL;S3;27229;24363;25796
2017-02-01;NRS;S3;159251;167010;163131
2017-02-01;NRS;S31;70070;86837;78454
2017-02-01;NTB;S2;16170;20356;18263
2017-02-01;NTB;S21;198110;188012;193061
2017-02-01;NWF;S3;89581;91541;90561
2017-02-01;NWS;S3;200017;217028;208523
2017-02-01;NWS;S31;115720;90334;103027
2017-02-01;OH;S1;480327;465833;473080
2017-02-01;OH;S11;34963;32463;33713
2017-02-01;OPS;S1;530486;528183;529335
2017-02-01;OPS;S11;36461;45116;40789
2017-02-01;PB;S1;154284;168551;161418
2017-02-01;PB;S11;19369;16463;17916
2017-02-01;PS;S3;77354;89448;83401
2017-02-01;RBK;S21;90748;93038;91893
2017-02-01;RES;S1;491880;475828;483854
2017-02-01;RES;S2;16762;12603;14683
2017-02-01;RES;S3;179293;220778;200036
2017-02-01;RI;S1;242903;258249;250576
2017-02-01;ROP;S2;12360;12825;12593
2017-02-01;ROP;S21;153947;172387;163167
